[rosmaster.main][INFO] 2017-03-09 13:12:49,236: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-03-09 13:12:49,236: Starting ROS Master Node
[xmlrpc][INFO] 2017-03-09 13:12:49,241: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-03-09 13:12:49,243: Started XML-RPC server [http://10.42.0.1:11311/]
[rosmaster.master][INFO] 2017-03-09 13:12:49,243: Master initialized: port[11311], uri[http://10.42.0.1:11311/]
[xmlrpc][INFO] 2017-03-09 13:12:49,243: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-03-09 13:12:49,268: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 13:12:49,273: +PARAM [/roslaunch/uris/host_10_42_0_1__38877] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 13:12:49,457: +PARAM [/camera/driver/color_fps] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 13:12:49,457: +PARAM [/mavros/imu/linear_acceleration_stdev] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 13:12:49,458: +PARAM [/mavros/image/frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 13:12:49,458: +PARAM [/mavros/setpoint_attitude/tf/listen] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 13:12:49,459: +PARAM [/camera/disparity_registered_sw/max_range] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 13:12:49,459: +PARAM [/camera/disparity_registered_sw/min_range] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 13:12:49,459: +PARAM [/camera/driver/enable_depth] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 13:12:49,460: +PARAM [/mavros/setpoint_position/tf/listen] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 13:12:49,460: +PARAM [/camera/points_xyzrgb_sw_registered/queue_size] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 13:12:49,460: +PARAM [/mavros/sys/disable_diag] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 13:12:49,461: +PARAM [/mavros/setpoint_position/tf/child_frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 13:12:49,461: +PARAM [/mavros/startup_px4_usb_quirk] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 13:12:49,461: +PARAM [/camera/camera_nodelet_manager/num_worker_threads] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 13:12:49,462: +PARAM [/mavros/imu/orientation_stdev] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 13:12:49,462: +PARAM [/mavros/safety_area/p2/x] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 13:12:49,462: +PARAM [/mavros/px4flow/ranger_fov] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 13:12:49,463: +PARAM [/camera/driver/enable_color] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 13:12:49,463: +PARAM [/camera/driver/base_frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 13:12:49,463: +PARAM [/mavros/local_position/tf/send] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 13:12:49,464: +PARAM [/mavros/plugin_blacklist] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 13:12:49,464: +PARAM [/camera/driver/enable_tf] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 13:12:49,464: +PARAM [/mavros/local_position/frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 13:12:49,465: +PARAM [/camera/driver/serial_no] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 13:12:49,465: +PARAM [/mavros/local_position/tf/frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 13:12:49,465: +PARAM [/mavros/setpoint_accel/send_force] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 13:12:49,466: +PARAM [/mavros/gcs_url] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 13:12:49,466: +PARAM [/mavros/imu/magnetic_stdev] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 13:12:49,466: +PARAM [/mavros/local_position/tf/child_frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 13:12:49,467: +PARAM [/mavros/setpoint_attitude/tf/rate_limit] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 13:12:49,467: +PARAM [/camera/driver/usb_port_id] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 13:12:49,467: +PARAM [/camera/driver/depth_height] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 13:12:49,468: +PARAM [/mavros/cmd/use_comp_id_system_control] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 13:12:49,468: +PARAM [/mavros/plugin_whitelist] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 13:12:49,468: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 13:12:49,468: +PARAM [/camera/driver/camera_type] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 13:12:49,469: +PARAM [/mavros/conn/heartbeat_rate] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 13:12:49,469: +PARAM [/mavros/mocap/use_pose] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 13:12:49,469: +PARAM [/camera/driver/depth_fps] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 13:12:49,470: +PARAM [/mavros/global_position/tf/frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 13:12:49,470: +PARAM [/mavros/target_system_id] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 13:12:49,470: +PARAM [/mavros/setpoint_attitude/tf/child_frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 13:12:49,471: +PARAM [/camera/driver/depth_optical_frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 13:12:49,471: +PARAM [/camera/driver/depth_width] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 13:12:49,471: +PARAM [/mavros/safety_area/p1/z] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 13:12:49,472: +PARAM [/mavros/safety_area/p1/y] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 13:12:49,472: +PARAM [/mavros/safety_area/p1/x] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 13:12:49,472: +PARAM [/mavros/global_position/tf/send] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 13:12:49,473: +PARAM [/mavros/vision_pose/tf/child_frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 13:12:49,473: +PARAM [/mavros/vibration/frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 13:12:49,473: +PARAM [/mavros/safety_area/p2/y] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 13:12:49,473: +PARAM [/mavros/safety_area/p2/z] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 13:12:49,474: +PARAM [/mavros/imu/frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 13:12:49,474: +PARAM [/mavros/time/time_ref_source] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 13:12:49,474: +PARAM [/mavros/tdr_radio/low_rssi] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 13:12:49,475: +PARAM [/camera/driver/enable_ir2] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 13:12:49,475: +PARAM [/mavros/px4flow/ranger_max_range] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 13:12:49,475: +PARAM [/mavros/global_position/tf/child_frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 13:12:49,476: +PARAM [/camera/driver/mode] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 13:12:49,476: +PARAM [/mavros/mission/pull_after_gcs] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 13:12:49,476: +PARAM [/SEGMENT_DURATION_SEC] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 13:12:49,477: +PARAM [/mavros/imu/angular_velocity_stdev] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 13:12:49,477: +PARAM [/camera/driver/ir_frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 13:12:49,477: +PARAM [/mavros/vision_pose/tf/frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 13:12:49,478: +PARAM [/mavros/vision_speed/listen_twist] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 13:12:49,478: +PARAM [/camera/driver/color_frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 13:12:49,478: +PARAM [/mavros/vision_pose/tf/rate_limit] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 13:12:49,478: +PARAM [/camera/driver/enable_pointcloud] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 13:12:49,479: +PARAM [/camera/depth_rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 13:12:49,479: +PARAM [/mavros/global_position/rot_covariance] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 13:12:49,479: +PARAM [/camera/driver/enable_ir] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 13:12:49,480: +PARAM [/camera/driver/depth_frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 13:12:49,480: +PARAM [/mavros/target_component_id] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 13:12:49,480: +PARAM [/mavros/setpoint_attitude/tf/frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 13:12:49,481: +PARAM [/mavros/mocap/use_tf] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 13:12:49,481: +PARAM [/mavros/conn/system_time_rate] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 13:12:49,481: +PARAM [/mavros/conn/timesync_rate] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 13:12:49,481: +PARAM [/mavros/px4flow/frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 13:12:49,482: +PARAM [/mavros/px4flow/ranger_min_range] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 13:12:49,482: +PARAM [/mavros/conn/timeout] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 13:12:49,483: +PARAM [/camera/disparity_depth/min_range] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 13:12:49,483: +PARAM [/mavros/fcu_url] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 13:12:49,483: +PARAM [/camera/driver/color_optical_frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 13:12:49,484: +PARAM [/camera/driver/ir2_frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 13:12:49,484: +PARAM [/mavros/setpoint_position/tf/rate_limit] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 13:12:49,484: +PARAM [/camera/driver/color_height] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 13:12:49,484: +PARAM [/mavros/vision_pose/tf/listen] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 13:12:49,485: +PARAM [/camera/disparity_depth/max_range] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 13:12:49,485: +PARAM [/mavros/setpoint_attitude/reverse_throttle] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 13:12:49,485: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 13:12:49,486: +PARAM [/SEGMENT_EXTRA_SEC] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 13:12:49,486: +PARAM [/mavros/setpoint_position/tf/frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 13:12:49,486: +PARAM [/mavros/time/timesync_avg_alpha] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 13:12:49,486: +PARAM [/mavros/sys/min_voltage] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 13:12:49,487: +PARAM [/mavros/global_position/frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 13:12:49,487: +PARAM [/camera/driver/color_width] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 13:12:49,496: +SERVICE [/rosout/get_loggers] /rosout http://10.42.0.1:37113/
[rosmaster.master][INFO] 2017-03-09 13:12:49,500: +SERVICE [/rosout/set_logger_level] /rosout http://10.42.0.1:37113/
[rosmaster.master][INFO] 2017-03-09 13:12:49,505: +PUB [/rosout_agg] /rosout http://10.42.0.1:37113/
[rosmaster.master][INFO] 2017-03-09 13:12:49,520: +SUB [/rosout] /rosout http://10.42.0.1:37113/
[rosmaster.master][INFO] 2017-03-09 13:12:49,628: +PUB [/rosout] /camera/driver http://10.42.0.1:34091/
[rosmaster.master][INFO] 2017-03-09 13:12:49,637: +SERVICE [/camera/driver/get_loggers] /camera/driver http://10.42.0.1:34091/
[rosmaster.master][INFO] 2017-03-09 13:12:49,641: publisherUpdate[/rosout] -> http://10.42.0.1:37113/
[rosmaster.master][INFO] 2017-03-09 13:12:49,647: +PUB [/rosout] /mavros http://10.42.0.1:33421/
[rosmaster.master][INFO] 2017-03-09 13:12:49,651: +SERVICE [/camera/driver/set_logger_level] /camera/driver http://10.42.0.1:34091/
[rosmaster.master][INFO] 2017-03-09 13:12:49,653: +PUB [/rosout] /camera/color_debayer http://10.42.0.1:38346/
[rosmaster.master][INFO] 2017-03-09 13:12:49,657: +SERVICE [/mavros/get_loggers] /mavros http://10.42.0.1:33421/
[rosmaster.master][INFO] 2017-03-09 13:12:49,665: +SERVICE [/mavros/set_logger_level] /mavros http://10.42.0.1:33421/
[rosmaster.master][INFO] 2017-03-09 13:12:49,671: +SERVICE [/camera/color_debayer/get_loggers] /camera/color_debayer http://10.42.0.1:38346/
[rosmaster.master][INFO] 2017-03-09 13:12:49,685: +PUB [/rosout] /camera/color_rectify_mono http://10.42.0.1:44737/
[rosmaster.master][INFO] 2017-03-09 13:12:49,690: +PARAM [/camera/driver] by /camera/driver
