[rosmaster.main][INFO] 2017-03-09 10:44:55,890: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-03-09 10:44:55,891: Starting ROS Master Node
[xmlrpc][INFO] 2017-03-09 10:44:55,894: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-03-09 10:44:55,895: Started XML-RPC server [http://10.42.0.1:11311/]
[rosmaster.master][INFO] 2017-03-09 10:44:55,896: Master initialized: port[11311], uri[http://10.42.0.1:11311/]
[xmlrpc][INFO] 2017-03-09 10:44:55,896: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-03-09 10:44:55,925: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 10:44:55,929: +PARAM [/roslaunch/uris/host_10_42_0_1__41947] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 10:44:56,108: +PARAM [/camera/driver/color_fps] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 10:44:56,109: +SERVICE [/rosout/get_loggers] /rosout http://10.42.0.1:44963/
[rosmaster.master][INFO] 2017-03-09 10:44:56,110: +PARAM [/mavros/imu/linear_acceleration_stdev] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 10:44:56,111: +PARAM [/mavros/image/frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 10:44:56,113: +PARAM [/mavros/setpoint_attitude/tf/listen] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 10:44:56,113: +SERVICE [/rosout/set_logger_level] /rosout http://10.42.0.1:44963/
[rosmaster.master][INFO] 2017-03-09 10:44:56,114: +PARAM [/camera/disparity_registered_sw/max_range] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 10:44:56,115: +PARAM [/camera/disparity_registered_sw/min_range] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 10:44:56,115: +PARAM [/camera/driver/enable_depth] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 10:44:56,115: +PARAM [/mavros/setpoint_position/tf/listen] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 10:44:56,117: +PARAM [/camera/points_xyzrgb_sw_registered/queue_size] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 10:44:56,118: +PARAM [/mavros/sys/disable_diag] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 10:44:56,119: +PARAM [/mavros/setpoint_position/tf/child_frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 10:44:56,119: +PARAM [/mavros/startup_px4_usb_quirk] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 10:44:56,120: +PARAM [/camera/camera_nodelet_manager/num_worker_threads] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 10:44:56,121: +PARAM [/mavros/imu/orientation_stdev] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 10:44:56,122: +PUB [/rosout_agg] /rosout http://10.42.0.1:44963/
[rosmaster.master][INFO] 2017-03-09 10:44:56,122: +PARAM [/mavros/safety_area/p2/x] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 10:44:56,124: +PARAM [/mavros/px4flow/ranger_fov] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 10:44:56,124: +PARAM [/camera/driver/enable_color] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 10:44:56,125: +PARAM [/camera/driver/base_frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 10:44:56,125: +PARAM [/mavros/local_position/tf/send] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 10:44:56,127: +PARAM [/mavros/plugin_blacklist] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 10:44:56,128: +PARAM [/camera/driver/enable_tf] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 10:44:56,128: +PARAM [/mavros/local_position/frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 10:44:56,129: +PARAM [/camera/driver/serial_no] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 10:44:56,129: +PARAM [/mavros/local_position/tf/frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 10:44:56,130: +PARAM [/mavros/setpoint_accel/send_force] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 10:44:56,130: +PARAM [/mavros/gcs_url] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 10:44:56,130: +PARAM [/mavros/imu/magnetic_stdev] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 10:44:56,131: +PARAM [/mavros/local_position/tf/child_frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 10:44:56,131: +PARAM [/mavros/setpoint_attitude/tf/rate_limit] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 10:44:56,131: +PARAM [/camera/driver/usb_port_id] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 10:44:56,132: +PARAM [/camera/driver/depth_height] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 10:44:56,132: +PARAM [/mavros/cmd/use_comp_id_system_control] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 10:44:56,132: +PARAM [/mavros/plugin_whitelist] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 10:44:56,133: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 10:44:56,133: +PARAM [/camera/driver/camera_type] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 10:44:56,135: +PARAM [/mavros/conn/heartbeat_rate] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 10:44:56,135: +PARAM [/mavros/mocap/use_pose] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 10:44:56,137: +PARAM [/camera/driver/depth_fps] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 10:44:56,138: +PARAM [/mavros/global_position/tf/frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 10:44:56,139: +PARAM [/mavros/target_system_id] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 10:44:56,141: +PARAM [/mavros/setpoint_attitude/tf/child_frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 10:44:56,142: +PARAM [/camera/driver/depth_optical_frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 10:44:56,142: +PARAM [/camera/driver/depth_width] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 10:44:56,143: +PARAM [/mavros/safety_area/p1/z] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 10:44:56,144: +PARAM [/mavros/safety_area/p1/y] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 10:44:56,144: +PARAM [/mavros/safety_area/p1/x] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 10:44:56,145: +PARAM [/mavros/global_position/tf/send] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 10:44:56,146: +PARAM [/mavros/vision_pose/tf/child_frame_id] by /roslaunch
