[rosmaster.main][INFO] 2017-03-09 10:37:55,648: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-03-09 10:37:55,649: Starting ROS Master Node
[xmlrpc][INFO] 2017-03-09 10:37:55,652: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-03-09 10:37:55,653: Started XML-RPC server [http://10.42.0.1:11311/]
[xmlrpc][INFO] 2017-03-09 10:37:55,655: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-03-09 10:37:55,656: Master initialized: port[11311], uri[http://10.42.0.1:11311/]
[rosmaster.master][INFO] 2017-03-09 10:37:55,682: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 10:37:55,687: +PARAM [/roslaunch/uris/host_10_42_0_1__39248] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 10:37:55,826: +SERVICE [/rosout/get_loggers] /rosout http://10.42.0.1:42258/
[rosmaster.master][INFO] 2017-03-09 10:37:55,831: +SERVICE [/rosout/set_logger_level] /rosout http://10.42.0.1:42258/
[rosmaster.master][INFO] 2017-03-09 10:37:55,872: +PARAM [/camera/driver/color_fps] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 10:37:55,873: +PARAM [/mavros/imu/linear_acceleration_stdev] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 10:37:55,873: +PARAM [/mavros/image/frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 10:37:55,874: +PARAM [/mavros/setpoint_attitude/tf/listen] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 10:37:55,876: +PARAM [/camera/disparity_registered_sw/max_range] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 10:37:55,876: +PARAM [/camera/disparity_registered_sw/min_range] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 10:37:55,877: +PARAM [/camera/driver/enable_depth] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 10:37:55,879: +PUB [/rosout_agg] /rosout http://10.42.0.1:42258/
[rosmaster.master][INFO] 2017-03-09 10:37:55,879: +PARAM [/mavros/setpoint_position/tf/listen] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 10:37:55,880: +PARAM [/camera/points_xyzrgb_sw_registered/queue_size] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 10:37:55,881: +PARAM [/mavros/sys/disable_diag] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 10:37:55,882: +PARAM [/mavros/setpoint_position/tf/child_frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 10:37:55,884: +PARAM [/mavros/startup_px4_usb_quirk] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 10:37:55,885: +PARAM [/camera/camera_nodelet_manager/num_worker_threads] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 10:37:55,885: +PARAM [/mavros/imu/orientation_stdev] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 10:37:55,887: +PARAM [/mavros/safety_area/p2/x] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 10:37:55,887: +PARAM [/mavros/px4flow/ranger_fov] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 10:37:55,889: +PARAM [/camera/driver/enable_color] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 10:37:55,890: +PARAM [/camera/driver/base_frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 10:37:55,891: +PARAM [/mavros/local_position/tf/send] by /roslaunch
[rosmaster.master][INFO] 2017-03-09 10:37:55,893: +PARAM [/mavros/plugin_blacklist] by /roslaunch
